"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"4315149";"PRESIDENTE LUCENA";"RS";"Pequeno Porte I";"1,16745893350523e+01";"8,38280921688455e+01";"1. Despertados (Efeito Indutor)"
"4315156";"PROGRESSO";"RS";"Pequeno Porte I";"2,58896899576045e+00";"1,36505578274253e+01";"1. Despertados (Efeito Indutor)"
"4315172";"PROTASIO ALVES";"RS";"Pequeno Porte I";"1,79436745093576e+01";"3,34303469426262e+01";"1. Despertados (Efeito Indutor)"
"4315305";"QUARAI";"RS";"Pequeno Porte II";"1,36390487342461e+00";"6,54433948917385e+00";"2. Constantes (Sustentabilidade)"
"4315321";"QUEVEDOS";"RS";"Pequeno Porte I";"4,65809839636224e+01";"7,71832580416423e+01";"1. Despertados (Efeito Indutor)"
"4315354";"QUINZE DE NOVEMBRO";"RS";"Pequeno Porte I";"3,58866978274300e+01";"1,38075217102642e+02";"1. Despertados (Efeito Indutor)"
"4315404";"REDENTORA";"RS";"Pequeno Porte I";"4,46533929165426e-01";"1,51223900593642e+01";"1. Despertados (Efeito Indutor)"
"4315503";"RESTINGA SECA";"RS";"Pequeno Porte I";"3,08013504639658e+01";"4,00373962951847e+01";"2. Constantes (Sustentabilidade)"
"4315552";"RIO DOS INDIOS";"RS";"Pequeno Porte I";"2,02502492633668e+01";"0,00000000000000e+00";"4. Efeito Substituição (Retração Local)"
"4315602";"RIO GRANDE";"RS";"Grande Porte";"1,99773990949203e+01";"2,81214010242960e+00";"4. Efeito Substituição (Retração Local)"
"4315701";"RIO PARDO";"RS";"Pequeno Porte II";"6,73301117048518e-01";"5,86165488241412e+00";"1. Despertados (Efeito Indutor)"
"4315750";"RIOZINHO";"RS";"Pequeno Porte I";"2,63293989683331e+01";"1,69809116944035e+02";"1. Despertados (Efeito Indutor)"
"4315800";"ROCA SALES";"RS";"Pequeno Porte I";"3,54925139244888e+01";"2,76687852566172e+01";"2. Constantes (Sustentabilidade)"
"4315909";"RODEIO BONITO";"RS";"Pequeno Porte I";"6,11919435837876e+01";"1,29474721148360e+02";"1. Despertados (Efeito Indutor)"
"4316006";"ROLANTE";"RS";"Pequeno Porte II";"2,72112274849657e+01";"2,98903917952176e+01";"2. Constantes (Sustentabilidade)"
"4316105";"RONDA ALTA";"RS";"Pequeno Porte I";"4,53248911310491e+01";"9,73048962899576e+01";"1. Despertados (Efeito Indutor)"
"4316204";"RONDINHA";"RS";"Pequeno Porte I";"7,77827761194879e+01";"1,32162893444842e+02";"1. Despertados (Efeito Indutor)"
"4316303";"ROQUE GONZALES";"RS";"Pequeno Porte I";"1,32764451739459e+02";"7,04552550458828e+01";"4. Efeito Substituição (Retração Local)"
"4316402";"ROSARIO DO SUL";"RS";"Pequeno Porte II";"3,49083605964791e+01";"2,10544964795920e+01";"4. Efeito Substituição (Retração Local)"
"4316428";"SAGRADA FAMILIA";"RS";"Pequeno Porte I";"2,05716324092685e+01";"1,20422616189874e+02";"1. Despertados (Efeito Indutor)"
"4316436";"SALDANHA MARINHO";"RS";"Pequeno Porte I";"7,88799745734872e+01";"6,29483484193544e+01";"2. Constantes (Sustentabilidade)"
"4316451";"SALTO DO JACUI";"RS";"Pequeno Porte I";"2,67216055141375e+01";"5,15277414465551e+01";"1. Despertados (Efeito Indutor)"
"4316477";"SALVADOR DAS MISSOES";"RS";"Pequeno Porte I";"1,94417888278465e+01";"1,22327538706237e+02";"1. Despertados (Efeito Indutor)"
"4316600";"SANANDUVA";"RS";"Pequeno Porte I";"2,01343384758728e+01";"0,00000000000000e+00";"4. Efeito Substituição (Retração Local)"
"4316733";"SANTA CECILIA DO SUL";"RS";"Pequeno Porte I";"6,50218640865340e+00";"0,00000000000000e+00";"4. Efeito Substituição (Retração Local)"
"4316758";"SANTA CLARA DO SUL";"RS";"Pequeno Porte I";"2,79375162639017e+01";"8,28618101174308e+01";"1. Despertados (Efeito Indutor)"
"4316808";"SANTA CRUZ DO SUL";"RS";"Grande Porte";"2,71167779718572e+01";"4,34824821587668e+01";"1. Despertados (Efeito Indutor)"
"4316907";"SANTA MARIA";"RS";"Grande Porte";"1,12650353434818e+01";"4,46259975143276e+01";"1. Despertados (Efeito Indutor)"
"4316956";"SANTA MARIA DO HERVAL";"RS";"Pequeno Porte I";"2,01164583487204e+01";"3,79594997341958e+01";"1. Despertados (Efeito Indutor)"
"4316972";"SANTA MARGARIDA DO SUL";"RS";"Pequeno Porte I";"2,12574479968516e+01";"6,83881249248683e+01";"1. Despertados (Efeito Indutor)"
"4317004";"SANTANA DA BOA VISTA";"RS";"Pequeno Porte I";"3,79314525549881e+01";"3,70937813091890e+01";"2. Constantes (Sustentabilidade)"
"4317103";"SANT'ANA DO LIVRAMENTO";"RS";"Médio Porte";"7,35034912748798e+00";"1,81928137174941e+01";"1. Despertados (Efeito Indutor)"
"4317202";"SANTA ROSA";"RS";"Médio Porte";"7,42324808340517e+01";"2,84610625839385e+01";"4. Efeito Substituição (Retração Local)"
"4317251";"SANTA TEREZA";"RS";"Pequeno Porte I";"0,00000000000000e+00";"1,29450728342730e+01";"1. Despertados (Efeito Indutor)"
