"codigo_ibge";"municipio";"uf_sigla";"porte_populacional";"ano_2020";"media_pos";"perfil_mudanca"
"3304805";"SAO FIDELIS";"RJ";"Pequeno Porte II";"35,233825041635228104";"52,80693721338242597";"1. Despertados (Efeito Indutor)"
"3304904";"SAO GONCALO";"RJ";"Grande Porte";"0,173394627894490644";"1,04196537413436996";"2. Constantes (Sustentabilidade)"
"3305000";"SAO JOAO DA BARRA";"RJ";"Pequeno Porte II";"11,187993299787367008";"67,86756516203789147";"1. Despertados (Efeito Indutor)"
"3305109";"SAO JOAO DE MERITI";"RJ";"Grande Porte";"0,000000000000000000";"0,58386148262421811";"2. Constantes (Sustentabilidade)"
"3305133";"SAO JOSE DE UBA";"RJ";"Pequeno Porte I";"57,679944257908474015";"110,89100685549928471";"1. Despertados (Efeito Indutor)"
"3305158";"SAO JOSE DO VALE DO RIO PRETO";"RJ";"Pequeno Porte II";"8,367234264805986754";"0,00000000000000000";"4. Efeito Substituição (Retração Local)"
"3305208";"SAO PEDRO DA ALDEIA";"RJ";"Grande Porte";"25,613456078239341451";"35,94730601694286776";"1. Despertados (Efeito Indutor)"
"3305307";"SAO SEBASTIAO DO ALTO";"RJ";"Pequeno Porte I";"68,077811310739235751";"46,59446047423684689";"4. Efeito Substituição (Retração Local)"
"3305505";"SAQUAREMA";"RJ";"Médio Porte";"60,488324419429325474";"15,20612133840614177";"4. Efeito Substituição (Retração Local)"
"3305554";"SEROPEDICA";"RJ";"Médio Porte";"31,272458749982678938";"41,12507140798289385";"2. Constantes (Sustentabilidade)"
"3305604";"SILVA JARDIM";"RJ";"Pequeno Porte II";"6,945125109925600171";"15,50003263130491504";"1. Despertados (Efeito Indutor)"
"3305703";"SUMIDOURO";"RJ";"Pequeno Porte I";"0,082177938442302700";"4,09462323496543235";"2. Constantes (Sustentabilidade)"
"3305752";"TANGUA";"RJ";"Pequeno Porte II";"14,390132141260686183";"20,49147287404451134";"2. Constantes (Sustentabilidade)"
"3305802";"TERESOPOLIS";"RJ";"Grande Porte";"24,008161154606096233";"14,81017584526094488";"2. Constantes (Sustentabilidade)"
"3305901";"TRAJANO DE MORAES";"RJ";"Pequeno Porte I";"58,741959874024146870";"63,18218263140819602";"2. Constantes (Sustentabilidade)"
"3306008";"TRES RIOS";"RJ";"Médio Porte";"24,000658169559958566";"2,71422669951241913";"4. Efeito Substituição (Retração Local)"
"3306107";"VALENCA";"RJ";"Médio Porte";"14,650384801749202879";"0,00000000000000000";"4. Efeito Substituição (Retração Local)"
"3306156";"VARRE-SAI";"RJ";"Pequeno Porte I";"17,919903017735620665";"16,96985343078182140";"2. Constantes (Sustentabilidade)"
"3306206";"VASSOURAS";"RJ";"Pequeno Porte II";"66,073893750677186176";"123,87749488262323894";"1. Despertados (Efeito Indutor)"
"3306305";"VOLTA REDONDA";"RJ";"Grande Porte";"0,000000000000000000";"11,36117365781063882";"1. Despertados (Efeito Indutor)"
"3500105";"ADAMANTINA";"SP";"Pequeno Porte II";"53,331896746314484403";"72,39502550777891088";"1. Despertados (Efeito Indutor)"
"3500204";"ADOLFO";"SP";"Pequeno Porte I";"9,471773662719044751";"17,79723376696044568";"1. Despertados (Efeito Indutor)"
"3500303";"AGUAI";"SP";"Pequeno Porte II";"38,342108953629036705";"76,41792980319277717";"1. Despertados (Efeito Indutor)"
"3500402";"AGUAS DA PRATA";"SP";"Pequeno Porte I";"3,553734758711911024";"9,03421981187111101";"2. Constantes (Sustentabilidade)"
"3500501";"AGUAS DE LINDOIA";"SP";"Pequeno Porte I";"5,976961865719879086";"12,48883575933004408";"1. Despertados (Efeito Indutor)"
"3500550";"AGUAS DE SANTA BARBARA";"SP";"Pequeno Porte I";"5,400366922899086930";"5,18857293088747529";"2. Constantes (Sustentabilidade)"
"3500600";"AGUAS DE SAO PEDRO";"SP";"Pequeno Porte I";"0,000000000000000000";"26,77499118732327332";"1. Despertados (Efeito Indutor)"
