"exercicio";"uf";"origem";"valor_nominal_final";"valor_real_final"
"2025";"ES";"Emendas Parlamentares (Cultura)";"950000,00";"904617,5556336404"
"2025";"ES";"Lei Paulo Gustavo (LPG)";"1152346,14";"1097297,4193796429"
"2025";"ES";"PNAB (Aldir Blanc 2)";"30591094,64";"29129727,6393622681"
"2025";"GO";"Recurso Próprio (Estadual)";"95385735,76";"90829064,3426605463"
"2025";"GO";"Lei Paulo Gustavo (LPG)";"1115895,44";"1062588,0055531850"
"2025";"GO";"PNAB (Aldir Blanc 2)";"12561835,12";"11961743,7689760197"
"2025";"MA";"Recurso Próprio (Estadual)";"474527945,85";"451859274,1628205180"
"2025";"MA";"Emendas Parlamentares (Cultura)";"206250,00";"196397,2324730930"
"2025";"MA";"PNAB (Aldir Blanc 2)";"62102944,00";"59136224,6304556355"
"2025";"MG";"Recurso Próprio (Estadual)";"241603120,96";"230061499,7013620436"
"2025";"MG";"Lei Paulo Gustavo (LPG)";"133120,70";"126761,3918297254"
"2025";"MG";"PNAB (Aldir Blanc 2)";"144685803,63";"137774018,9627994895"
"2025";"MS";"Recurso Próprio (Estadual)";"121710807,68";"115896561,4080817997"
"2025";"MS";"Emendas Parlamentares (Cultura)";"3862356,33";"3677847,7286639139"
"2025";"MS";"Lei Paulo Gustavo (LPG)";"369190,38";"351553,7885463735"
"2025";"MS";"PNAB (Aldir Blanc 2)";"22125689,95";"21068723,7466071621"
"2025";"MT";"Recurso Próprio (Estadual)";"278515895,52";"265210914,3267545104"
"2025";"MT";"Lei Paulo Gustavo (LPG)";"2058402,21";"1960070,2902327194"
"2025";"MT";"PNAB (Aldir Blanc 2)";"24717646,22";"23536859,6890036762"
"2025";"PA";"Recurso Próprio (Estadual)";"360726006,18";"343493766,2779337764"
"2025";"PB";"Recurso Próprio (Estadual)";"79232331,97";"75447324,7093205750"
"2025";"PB";"Emendas Parlamentares (Cultura)";"931699,37";"887191,1649208450"
"2025";"PB";"Lei Paulo Gustavo (LPG)";"283696,94";"270144,4551616248"
"2025";"PB";"PNAB (Aldir Blanc 2)";"30712766,10";"29245586,7327681445"
"2025";"PE";"Recurso Próprio (Estadual)";"505951752,12";"481781933,9698441625"
"2025";"PE";"Lei Paulo Gustavo (LPG)";"7930971,40";"7552101,0122824330"
"2025";"PE";"PNAB (Aldir Blanc 2)";"114509576,72";"109039340,4095675945"
"2025";"PI";"Recurso Próprio (Estadual)";"76295488,60";"72650777,2665329278"
"2025";"PI";"Emendas Parlamentares (Cultura)";"559520,00";"532791,1733980363"
"2025";"PI";"Lei Paulo Gustavo (LPG)";"85433,76";"81352,5043576748"
"2025";"PI";"PNAB (Aldir Blanc 2)";"30501472,60";"29044386,9333036430"
"2025";"PR";"Recurso Próprio (Estadual)";"156083686,83";"148627413,9520434141"
"2025";"PR";"Emendas Parlamentares (Cultura)";"150000,00";"142834,3508895222"
"2025";"PR";"Lei Paulo Gustavo (LPG)";"1012274,60";"963917,2360863381"
"2025";"PR";"PNAB (Aldir Blanc 2)";"64367895,23";"61292976,8886788040"
"2025";"RJ";"Recurso Próprio (Estadual)";"425761720,87";"405422660,2271491885"
"2025";"RJ";"PNAB (Aldir Blanc 2)";"41822505,56";"39824602,8949068785"
"2025";"RN";"Recurso Próprio (Estadual)";"45997800,12";"43800439,4832412302"
"2025";"RN";"Lei Paulo Gustavo (LPG)";"11127,20";"10595,6425947859"
"2025";"RN";"PNAB (Aldir Blanc 2)";"27305756,75";"26001333,6062229238"
"2025";"RO";"Recurso Próprio (Estadual)";"68475828,01";"65204669,6362060755"
"2025";"RO";"PNAB (Aldir Blanc 2)";"595421,16";"566977,2992965755"
"2025";"RR";"Recurso Próprio (Estadual)";"88674374,55";"84438311,5292240977"
"2025";"RR";"Emendas Parlamentares (Cultura)";"10967228,76";"10443313,3399433270"
"2025";"RR";"PNAB (Aldir Blanc 2)";"15758539,17";"15005738,0887603965"
"2025";"RS";"Recurso Próprio (Estadual)";"264153056,36";"251534202,2710931003"
"2025";"RS";"Emendas Parlamentares (Cultura)";"2015126,84";"1918862,2276763599"
"2025";"RS";"Lei Paulo Gustavo (LPG)";"1200928,66";"1143559,1041048244"
"2025";"SC";"Recurso Próprio (Estadual)";"72332592,47";"68877192,6240585893"
"2025";"SC";"Emendas Parlamentares (Cultura)";"300000,00";"285668,7017790443"
"2025";"SC";"Lei Paulo Gustavo (LPG)";"284820,80";"271214,6272522294"
"2025";"SC";"PNAB (Aldir Blanc 2)";"1110932,46";"1057862,1120413337"
"2025";"SE";"Recurso Próprio (Estadual)";"348203518,12";"331569489,9207878113"
