"cod_municipio","municipio","ano","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_escolaridade_agrupada","orcamento_perc_executado"
"2513984","São Francisco",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Não","Não","Não","Não","Masculino","47","Parda","Ensino fundamental (1º Grau) incompleto","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"2514008","São João do Cariri",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Sim","Sim","Não",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514008","São João do Cariri",2014,"Secretaria exclusiva","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Masculino","26",NA,"Ensino superior incompleto","Ensino Médio a Pós-graduação lato sensu",NA
"2514008","São João do Cariri",2018,"Secretaria em conjunto com outras políticas setoriais","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Sim","Masculino","51","Preta","Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514008","São João do Cariri",2021,"Secretaria exclusiva","Não","Sim","Não","Sim","Sim","Sim","Sim","Não","Não","Masculino","28","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","Até 10%"
"2514107","São João do Tigre",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514107","São João do Tigre",2014,"Setor subordinado à outra secretaria","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","32",NA,"Ensino médio completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514107","São João do Tigre",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Masculino","40","Branca","Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514107","São João do Tigre",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Sim","Não","Não","Não","Não","Não","Não","Não","Masculino","44","Branca","Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu","Até 10%"
"2514206","São José da Lagoa Tapada",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior incompleto","Ensino Médio a Pós-graduação lato sensu",NA
"2514206","São José da Lagoa Tapada",2014,"Não possui estrutura","Não","Não","Não","Não","Não","Sim","Não","Não","Não","-","-",NA,"-","Sem Informação",NA
"2514206","São José da Lagoa Tapada",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","33","Branca","Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514206","São José da Lagoa Tapada",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Não","Não","Não","Não","Masculino","32","Branca","Ensino médio (2º Grau) completo","Ensino Médio a Pós-graduação lato sensu","Sem Informação"
"2514305","São José de Caiana",2006,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Não","Não","Não","Não",NA,NA,NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514305","São José de Caiana",2014,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","66",NA,"Ensino superior completo","Ensino Médio a Pós-graduação lato sensu",NA
"2514305","São José de Caiana",2018,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Não","Não","Não","Não","Feminino","37","Parda","Especialização","Ensino Médio a Pós-graduação lato sensu",NA
"2514305","São José de Caiana",2021,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","40","Parda","Ensino superior completo","Ensino Médio a Pós-graduação lato sensu","0%"
