"cod_municipio","municipio","cod_uf","uf","regiao","ano","populacao","tipo_orgao_gestor","tem_plano","tem_conselho","tem_fundo","tem_lei_patrimonio","tem_cons_patrimonio","equip_biblioteca","equip_museu","equip_teatro","equip_cinema","gestor_sexo","gestor_idade","gestor_cor_raca","gestor_escolaridade","gestor_idade_num","gestor_faixa_etaria","gestor_cor_raca_limpa","gestor_grupo_raca","gestor_escolaridade_agrupada","plano_tem_lei","plano_participacao_soc","sec_educacao","sec_esporte","sec_turismo","cons_qtd_membros","cons_cap_continuada","cons_cap_eventual","cons_cap_nao_realiza","orcamento_perc_executado"
"2508554","Logradouro","25","PB","Nordeste",2014,NA,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Masculino","52",NA,"Ensino superior completo",52,"50 a 59 anos",NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508554","Logradouro","25","PB","Nordeste",2018,NA,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","-","-","-","-","Masculino","56","Branca","Ensino superior completo",56,"50 a 59 anos","Branca","Brancos","Ensino Superior","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
"2508554","Logradouro","25","PB","Nordeste",2021,4406,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Não","Não","Não","Não","Masculino","44","Branca","Ensino superior completo",44,"40 a 49 anos","Branca","Brancos","Ensino Superior","Não","Não","Não","Não","Não",NA,"Não","Não","Não","Sem Informação"
"2508604","Lucena","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior completo",NA,NA,NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508604","Lucena","25","PB","Nordeste",2014,NA,"Secretaria exclusiva","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Feminino","55",NA,"Ensino superior completo",55,"50 a 59 anos",NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508604","Lucena","25","PB","Nordeste",2018,NA,"Secretaria exclusiva","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Não","Masculino","46","Branca","Ensino superior incompleto",46,"40 a 49 anos","Branca","Brancos","Ensino Superior","Sim","Sim","Sim","Não","Não",0,"Não","Não","Sim",NA
"2508604","Lucena","25","PB","Nordeste",2021,13344,"Secretaria exclusiva","Sim","Sim","Não","Não","Sim","Sim","Não","Não","Não","Feminino","62","Branca","Ensino superior completo",62,"60 anos ou mais","Branca","Brancos","Ensino Superior","Sim","Sim","Não","Não","Não",NA,"Não","Não","Não","Sem Informação"
"2508703","Mãe dÁgua","25","PB","Nordeste",2006,NA,"Secretaria municipal em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não",NA,NA,NA,"Ensino superior completo",NA,NA,NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508703","Mãe dÁgua","25","PB","Nordeste",2014,NA,"Secretaria em conjunto com outras políticas","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","43",NA,"Ensino superior completo",43,"40 a 49 anos",NA,NA,"Ensino Superior",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2508703","Mãe dÁgua","25","PB","Nordeste",2018,NA,"Secretaria em conjunto com outras políticas setoriais","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Feminino","72","Branca","Ensino superior completo",72,"60 anos ou mais","Branca","Brancos","Ensino Superior","Não","Não","Não","Não","Não",NA,"Não","Não","Não",NA
